surface,label_1,uri_1,tool_1,label_2,uri_2,tool_2,id,dpa_id
Leiferde,Leiferde,Q1576327,txtwerk,Leiferde,Q638324,dandelion,299_307,20090101:170216-99-318704/11
Leiferde,Leiferde,Q638324,textrazor,Leiferde,Q1576327,txtwerk,299_307,20090101:170216-99-318704/11
Leiferde,Leiferde,Q638324,txt_alt,Leiferde,Q1576327,txtwerk,299_307,20090101:170216-99-318704/11
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,979_983,20090101:170220-99-361784/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,601_605,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,dandelion,40_47,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,txtwerk,40_47,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,textrazor,40_47,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,dandelion,338_345,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,txtwerk,338_345,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,textrazor,338_345,20090101:170220-99-361784/2
Heim-WM,"Biathlon-Weltmeisterschaften 2012",Q161109,dandelion,"UCI-Bahn-Weltmeisterschaften 1999",Q634178,ambiverse,250_257,20090101:170221-99-370286/3
Silber,Silber,Q1090,txtwerk,Medaille,Q131647,dandelion,1079_1085,20090101:170221-99-370286/3
Skisport,Skisport,Q15621650,txtwerk,"Olympische Winterspiele 1924/Ski Nordisch",Q1701760,dandelion,2219_2227,20090101:170221-99-370286/3
Silber,Silber,Q1090,txtwerk,Medaille,Q131647,dandelion,3027_3033,20090101:170221-99-370286/3
Bronze,Bronze,Q34095,txtwerk,Medaille,Q131647,dandelion,3087_3093,20090101:170221-99-370286/3
"Kyrö",Karinainen,Q910021,aylien,"ST Kyro",Q3200993,dandelion,1384_1388,20090101:170221-99-370286/3
"Salt Lake City","Olympische Winterspiele 2002",Q9668,aylien,"Salt Lake City",Q23337,dandelion,2983_2997,20090101:170221-99-370286/3
Asse,Asse,Q314205,textrazor,"Asse (Durance)",Q739985,aylien,307_311,20090101:170221-99-370286/3
Bronze,Bronze,Q34095,textrazor,Medaille,Q131647,dandelion,3087_3093,20090101:170221-99-370286/3
"Salt Lake City","Salt Lake City",Q23337,textrazor,"Olympische Winterspiele 2002",Q9668,aylien,2983_2997,20090101:170221-99-370286/3
Skisport,Skifahren,Q130949,textrazor,"Olympische Winterspiele 1924/Ski Nordisch",Q1701760,dandelion,2219_2227,20090101:170221-99-370286/3
Skisport,Skifahren,Q130949,textrazor,Skisport,Q15621650,txtwerk,2219_2227,20090101:170221-99-370286/3
"WM 2001","WM 2001",Q285535,txt_alt,"Nordische Skiweltmeisterschaften 2001",Q1428125,dandelion,88_95,20090101:170221-99-370286/3
Asse,Asse,Q314205,txt_alt,"Asse (Durance)",Q739985,aylien,307_311,20090101:170221-99-370286/3
Weltmeisterschaften,"Fußball-Weltmeisterschaft",Q19317,txt_alt,"Nordische Ski-Weltmeisterschaften",Q937571,dandelion,2247_2266,20090101:170221-99-370286/3
"Salt Lake City","Olympische Winterspiele 2002",Q9668,txt_alt,"Salt Lake City",Q23337,dandelion,2983_2997,20090101:170221-99-370286/3
"Salt Lake City","Olympische Winterspiele 2002",Q9668,txt_alt,"Salt Lake City",Q23337,textrazor,2983_2997,20090101:170221-99-370286/3
Franken,Mittelfranken,Q10551,txtwerk,Franken,Q150907,dandelion,831_838,20090101:170221-99-372882/9
"bayerischen Vogtland","Hofer Land",Q1622999,txtwerk,Vogtland,Q708317,dandelion,1399_1419,20090101:170221-99-372882/9
"bayerischen Vogtland",Vogtland,Q708317,textrazor,"Hofer Land",Q1622999,txtwerk,1399_1419,20090101:170221-99-372882/9
Franken,Franken,Q150907,textrazor,Mittelfranken,Q10551,txtwerk,831_838,20090101:170221-99-372882/9
Register,Register,Q187466,txt_alt,Register,Q1446290,dandelion,102_110,20090101:170221-99-372882/9
Register,Register,Q187466,txt_alt,Register,Q1446290,txtwerk,102_110,20090101:170221-99-372882/9
Register,Register,Q187466,txt_alt,Register,Q1446290,textrazor,102_110,20090101:170221-99-372882/9
Bergen,Bergen,Q9901,txt_alt,Bergen,Q26793,aylien,472_478,20090101:170221-99-372882/9
Bergen,Bergen,Q9901,txt_alt,Bergen,Q26793,textrazor,472_478,20090101:170221-99-372882/9
Franken,Franken,Q25344,txt_alt,Franken,Q150907,dandelion,831_838,20090101:170221-99-372882/9
Franken,Franken,Q25344,txt_alt,Mittelfranken,Q10551,txtwerk,831_838,20090101:170221-99-372882/9
Franken,Franken,Q25344,txt_alt,Franken,Q150907,textrazor,831_838,20090101:170221-99-372882/9
Idris,Idris,Q116430,dandelion,Baluken,Q20085709,ambiverse,767_772,20090101:170221-99-377310/4
