"tool","precision","recall","f_measure","overlap","counter_tool","counter_txtwerk","dpa_id"
"ambiverse",0.16666666666666666,0.07692307692307693,0.10526315789473684,1,6,13,"urn:newsml:dpa.com:20090101:170216-99-318704/11"
"ambiverse",0.4,0.2,0.26666666666666666,2,5,10,"urn:newsml:dpa.com:20090101:170220-99-361784/2"
"ambiverse",0.5116279069767442,0.5116279069767442,0.5116279069767442,22,43,43,"urn:newsml:dpa.com:20090101:170221-99-370286/3"
"ambiverse",0.5,0.18518518518518517,0.2702702702702703,5,10,27,"urn:newsml:dpa.com:20090101:170221-99-372882/9"
"ambiverse",0.41025641025641024,0.36363636363636365,0.3855421686746988,16,39,44,"urn:newsml:dpa.com:20090101:170221-99-377310/4"
"ambiverse",0.4444444444444444,0.26666666666666666,0.33333333333333337,4,9,15,"urn:newsml:dpa.com:20090101:170221-99-379969/2"
"ambiverse",0.21739130434782608,0.125,0.15873015873015875,5,23,40,"urn:newsml:dpa.com:20090101:170222-90-024563/2"
"ambiverse",0.8333333333333334,0.35714285714285715,0.5,5,6,14,"urn:newsml:dpa.com:20090101:170222-99-389788/2"
"ambiverse",0.58,0.5321100917431193,0.5550239234449761,58,100,109,"urn:newsml:dpa.com:20090101:170222-99-391294/2"
"ambiverse",0.625,0.35714285714285715,0.45454545454545453,5,8,14,"urn:newsml:dpa.com:20090101:170223-99-399051/2"
"ambiverse",0.5789473684210527,0.4782608695652174,0.5238095238095238,11,19,23,"urn:newsml:dpa.com:20090101:170223-99-401922/5"
"ambiverse",0.5,0.2,0.28571428571428575,4,8,20,"urn:newsml:dpa.com:20090101:170223-99-408779/10"
"ambiverse",0.6,0.5853658536585366,0.5925925925925926,24,40,41,"urn:newsml:dpa.com:20090101:170224-99-421725/2"
"ambiverse",0.5,0.2857142857142857,0.36363636363636365,4,8,14,"urn:newsml:dpa.com:20090101:170224-99-422092/2"
"ambiverse",0.25,0.14285714285714285,0.18181818181818182,1,4,7,"urn:newsml:dpa.com:20090101:170224-99-422249/4"
"ambiverse",0.5,0.3076923076923077,0.380952380952381,4,8,13,"urn:newsml:dpa.com:20090101:170224-99-422406/2"
"ambiverse",0.25,0.3333333333333333,0.28571428571428575,1,4,3,"urn:newsml:dpa.com:20090101:170224-99-424234/1"
